clave,anio,url,archivo,status,bytes,error
2015-18,2015,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{75E33637-B3AA-E713-BC42-96E56A1C7044}.pdf,2015-18.pdf,ok,656140,
2015-01,2015,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{DDA9F0AA-B46A-7FF8-0B4C-7F559FC7EE17}.pdf,2015-01.pdf,ok,332339,
2014-19,2014,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{FEF03A32-CF39-C225-B4FF-09CB9B3321D3}.pdf,2014-19.pdf,ok,830741,
2014-11,2014,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{D79B4EBB-D83A-186C-757F-BAE9220CF3A4}.pdf,2014-11.pdf,ok,273664,
2014-01,2014,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{D9A9C28F-3CFE-EF36-411F-F2885FB62EFA}.pdf,2014-01.pdf,ok,331215,
2013-19,2013,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{F773D8EC-94B8-DB41-40DA-5080157CBA0D}.pdf,2013-19.pdf,ok,463389,
2013-12,2013,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{B7FDBBD7-FCF1-DD6B-83B7-36048B920009}.pdf,2013-12.pdf,ok,1478573,
2013-05,2013,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{9391C3D8-499B-2AA3-AAA9-55CDB05A4B51}.pdf,2013-05.pdf,ok,250983,
2012-16,2012,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{BFB8016E-A088-B8F1-A9CE-7497BF499430}.pdf,2012-16.pdf,ok,455984,
2012-13,2012,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{58AB8995-2089-2B80-1417-F5CE4AEAE6FD}.pdf,2012-13.pdf,ok,1020908,
2012-08,2012,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{52A1AD97-9B11-FB83-CCE3-CE4B381F6411}.pdf,2012-08.pdf,ok,654993,
2011-17,2011,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{0B176CCE-94A5-E031-6FD1-F645382991A3}.pdf,2011-17.pdf,ok,398402,
2011-14,2011,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{965A2B76-3B6D-18E0-5C42-9DD12A6ACDA5}.pdf,2011-14.pdf,ok,286201,
2010-17,2010,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{0AB6B4F9-9D7B-2000-7585-2E4CC05FBCF2}.pdf,2010-17.pdf,ok,403609,
2010-12,2010,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{51916CE6-F8CA-E6CE-A899-AF93FBADB417}.pdf,2010-12.pdf,ok,357077,
2010-11,2010,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{0FD630EB-07BB-2F24-75AA-318E94B601B7}.pdf,2010-11.pdf,ok,306758,
2010-09,2010,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{7558CB81-0547-7CE6-A45A-C7886D85ADD2}.pdf,2010-09.pdf,ok,504709,
2010-08,2010,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{A526F639-94D4-0752-058E-D75330EA1039}.pdf,2010-08.pdf,ok,1156496,
2010-06,2010,https://www.banxico.org.mx/publications-and-press/banco-de-mexico-working-papers/{04EDE5E2-00E9-BC1F-3FAD-6921F3FC2E4C}.pdf,2010-06.pdf,ok,415212,
